Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
19	40222208	40226697	ENSG00000105219
1	32600172	32650903	ENSG00000176261
1	32465057	32600792	ENSG00000254553
15	40382721	40394246	ENSG00000128944
CHR_HSCHR19_4_CTG3_1	54094679	54102746	ENSG00000275736
3	146576555	146606216	ENSG00000231213
16	10528422	10580698	ENSG00000213853
19	48630030	48637438	ENSG00000105516
19	19255641	19262796	ENSG00000187664
12	48965340	48971763	ENSG00000169884
X	3308565	3346641	ENSG00000101825
11	108472105	108498432	ENSG00000178202
11	34150988	34358008	ENSG00000166016
19	47403124	47419523	ENSG00000105419
5	148451032	148677235	ENSG00000164270
2	200305881	200482263	ENSG00000196141
17	74541108	74546143	ENSG00000167850
5	151212150	151270440	ENSG00000196743
2	44167969	44244384	ENSG00000138032
21	45073853	45226560	ENSG00000197381
1	203305491	203309602	ENSG00000159388
1	92508696	92792404	ENSG00000067208
7	21900900	21946084	ENSG00000164649
17	7315628	7329393	ENSG00000215041
7	136868669	137020255	ENSG00000181072
12	53326575	53345315	ENSG00000170374
9	89360787	89498130	ENSG00000187764
6	127266610	127288567	ENSG00000118518
7	135926761	135977353	ENSG00000105887
12	94567124	94650562	ENSG00000057704
6	127118604	127197765	ENSG00000146374
15	90966190	91022566	ENSG00000284946
11	65919257	65921561	ENSG00000175550
19	8322584	8343262	ENSG00000186994
14	102139503	102224847	ENSG00000140153
19	48600810	48614854	ENSG00000105523
22	37970686	37987422	ENSG00000100146
X	151176653	151181465	ENSG00000102195
8	144098633	144108124	ENSG00000179526
16	3018445	3022383	ENSG00000006327
22	26521983	26596717	ENSG00000128294
12	57591174	57603418	ENSG00000166908
11	65892049	65900573	ENSG00000175592
13	27920020	27926231	ENSG00000139515
4	25648011	25678748	ENSG00000157765
22	31122731	31134696	ENSG00000185133
6	4021267	4064983	ENSG00000112739
11	62662817	62672255	ENSG00000162194
X	24558087	24672677	ENSG00000102230
1	41506365	42035925	ENSG00000127124
1	41585306	41628816	ENSG00000284895
1	113894748	113905201	ENSG00000134262
17	41065116	41065879	ENSG00000213417
9	26840685	26892804	ENSG00000120159
2	10042849	10054836	ENSG00000172059
9	1049858	1057552	ENSG00000173253
6	143807092	143844617	ENSG00000257065
17	48528526	48531001	ENSG00000120094
1	55039548	55064852	ENSG00000169174
11	65638097	65650930	ENSG00000213445
14	104769349	104795751	ENSG00000142208
17	40977716	40987135	ENSG00000204889
19	2328615	2354806	ENSG00000005206
17	35871491	35880793	ENSG00000271503
12	92420094	92428148	ENSG00000205057
13	32432417	32538885	ENSG00000244754
8	2045040	2165552	ENSG00000036448
1	201829141	201884294	ENSG00000198700
14	60396469	60515543	ENSG00000179008
19	51022216	51028039	ENSG00000167757
4	185396021	185400628	ENSG00000186352
1	30732469	30757820	ENSG00000162511
17	6651718	6693202	ENSG00000256806
11	121024125	121113108	ENSG00000285509
CHR_HSCHR6_MHC_SSTO_CTG1	29930538	29999232	ENSG00000223980
3	48599002	48610976	ENSG00000010256
10	97850239	97871580	ENSG00000155265
17	76038775	76072653	ENSG00000167881
CHR_HSCHR6_MHC_DBB_CTG1	30717966	30732991	ENSG00000206379
21	46136262	46155567	ENSG00000160282
CHR_HSCHR6_MHC_DBB_CTG1	30690066	30708147	ENSG00000225589
3	119468938	119494708	ENSG00000163389
22	19846138	19854896	ENSG00000215012
19	46719507	46746994	ENSG00000090372
1	200027602	200177424	ENSG00000116833
21	33903453	33915980	ENSG00000241837
1	40783814	40840452	ENSG00000117013
1	46632737	46673867	ENSG00000123472
CHR_HSCHR6_MHC_DBB_CTG1	30678308	30681681	ENSG00000236843
X	23983720	24027186	ENSG00000174010
10	97584374	97673910	ENSG00000249967
1	196819757	196832189	ENSG00000244414
10	123135962	123137741	ENSG00000188620
1	196651878	196747504	ENSG00000000971
15	40765155	40807478	ENSG00000104129
18	44680173	45068510	ENSG00000152217
4	81030965	81057531	ENSG00000152785
3	36985043	36993168	ENSG00000178567
15	75369379	75455842	ENSG00000169375
3	172889358	173141268	ENSG00000144962
17	40627356	40665141	ENSG00000264058
6	31111223	31112559	ENSG00000204542
4	2269582	2418663	ENSG00000159733
14	20138820	20145471	ENSG00000184394
3	15254853	15341368	ENSG00000131370
11	73646178	73662819	ENSG00000021300
6	142058330	142088799	ENSG00000135577
19	7924485	7926166	ENSG00000178531
4	188091273	188109603	ENSG00000179046
5	168291651	168472303	ENSG00000113645
1	78303884	78539749	ENSG00000122420
3	121835183	121886526	ENSG00000145088
2	88027205	88055729	ENSG00000172086
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54803296	54814484	ENSG00000278606
22	23768226	23784316	ENSG00000099953
3	67360460	67654614	ENSG00000172340
3	181711924	181714436	ENSG00000181449
17	41812680	41823217	ENSG00000141756
3	66998307	67011210	ENSG00000163376
19	35887653	35902303	ENSG00000167604
CHR_HSCHR6_MHC_MANN_CTG1	31586326	31598283	ENSG00000227565
4	183797692	184023526	ENSG00000173320
16	20780193	20900349	ENSG00000196678
X	56818298	56995827	ENSG00000204271
20	18507482	18561415	ENSG00000101310
16	20610243	20797581	ENSG00000005187
3	45917899	45995824	ENSG00000163820
14	23058564	23095614	ENSG00000100813
20	37693955	37872129	ENSG00000132792
1	121167646	121185539	ENSG00000188610
10	45454585	45594906	ENSG00000165406
3	114128652	114199407	ENSG00000151577
12	64507001	64697567	ENSG00000153179
X	135094987	135098634	ENSG00000196972
20	1470741	1491587	ENSG00000196209
3	170086732	170181749	ENSG00000173889
6	81491439	81752774	ENSG00000112773
1	119893533	119896495	ENSG00000134249
14	103928462	104052667	ENSG00000156414
12	80707498	80709474	ENSG00000111046
22	30447959	30472049	ENSG00000100012
15	43772617	43799133	ENSG00000262560
3	101648889	101677495	ENSG00000066422
19	12391949	12441082	ENSG00000268870
12	14804650	14814182	ENSG00000179256
19	12610918	12633840	ENSG00000173875
X	71056332	71073426	ENSG00000147164
2	112138385	112188216	ENSG00000144152
12	14881181	14885926	ENSG00000111341
12	56237807	56258391	ENSG00000139645
11	120236640	120319944	ENSG00000137709
X	149881141	149885835	ENSG00000156009
19	12433103	12484816	ENSG00000269755
12	4604944	4662643	ENSG00000272921
19	12525370	12551542	ENSG00000249709
12	4562204	4615302	ENSG00000010219
19	12525720	12580975	ENSG00000269693
16	31873758	31917357	ENSG00000185947
19	12429707	12441112	ENSG00000180855
6	26383096	26394874	ENSG00000124508
17	32486619	32491256	ENSG00000176749
8	21919671	22006585	ENSG00000130227
22	32354885	32361161	ENSG00000128276
9	132878027	132890201	ENSG00000165698
10	110871795	110900006	ENSG00000150593
19	12461559	12551474	ENSG00000196826
19	12461184	12513854	ENSG00000242852
6	170282206	170306565	ENSG00000198719
16	268727	283010	ENSG00000242173
13	45464898	45536630	ENSG00000136152
1	66812885	66924887	ENSG00000152763
2	239892450	240025402	ENSG00000130414
10	45302298	45315608	ENSG00000256574
4	142023160	142847432	ENSG00000109452
19	12379189	12401274	ENSG00000268744
3	121769763	121835079	ENSG00000173226
9	132725578	132878777	ENSG00000165695
10	74120255	74151063	ENSG00000185009
3	49857988	49870222	ENSG00000164076
13	24882284	24922889	ENSG00000151849
17	15303811	15341641	ENSG00000125409
CHR_HSCHR6_MHC_DBB_CTG1	29720256	29736008	ENSG00000235220
17	55265012	55325065	ENSG00000108924
16	249547	269943	ENSG00000269881
3	189631416	189897279	ENSG00000073282
6	52791664	52803910	ENSG00000243955
22	19479459	19520612	ENSG00000093009
11	117314557	117413268	ENSG00000110274
CHR_HSCHR19LRC_LRC_J_CTG3_1	54160649	54173691	ENSG00000274873
CHR_HSCHR6_MHC_MANN_CTG1	29063961	29076488	ENSG00000277403
CHR_HSCHR5_2_CTG1_1	69557495	69559073	ENSG00000280514
CHR_HSCHR19LRC_LRC_S_CTG3_1	54913845	54920784	ENSG00000277824
CHR_HSCHR19LRC_LRC_J_CTG3_1	54069947	54081380	ENSG00000276145
CHR_HSCHR19LRC_PGF2_CTG3_1	54751499	54776058	ENSG00000275931
CHR_HG2030_PATCH	133376515	133406244	ENSG00000281245
CHR_HSCHR19LRC_LRC_I_CTG3_1	54173854	54190480	ENSG00000278519
KI270728.1	1167457	1257196	ENSG00000277761
CHR_HSCHR19LRC_LRC_S_CTG3_1	54190866	54195141	ENSG00000275165
16	3382113	3397745	ENSG00000262621
CHR_HSCHR19LRC_COX2_CTG3_1	54156127	54160192	ENSG00000276774
CHR_HSCHR19LRC_LRC_J_CTG3_1	54156127	54160192	ENSG00000275935
14	52639916	52695900	ENSG00000197930
8	42152946	42171673	ENSG00000070718
21	30281309	30282958	ENSG00000188694
18	56597208	56651600	ENSG00000091164
11	115169218	115504957	ENSG00000182985
4	75513946	75550473	ENSG00000174796
19	41219203	41261766	ENSG00000167601
2	134455759	134719000	ENSG00000152128
9	112379937	112472410	ENSG00000119471
15	72199029	72231822	ENSG00000067225
5	124636913	124748807	ENSG00000168916
6	157700387	157945077	ENSG00000130340
5	176388747	176389771	ENSG00000146066
X	130064874	130110716	ENSG00000102034
7	142111749	142222324	ENSG00000257743
11	62908679	62921807	ENSG00000168539
1	156594487	156601496	ENSG00000160818
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54738476	54752501	ENSG00000276425
1	153457744	153460701	ENSG00000143556
1	156579727	156586770	ENSG00000187862
22	38681948	38685421	ENSG00000100216
10	62520448	62672011	ENSG00000285551
1	153390032	153391188	ENSG00000143546
1	37802944	37808185	ENSG00000196449
12	109097574	109110992	ENSG00000076248
19	57487718	57505381	ENSG00000268107
X	47571898	47619943	ENSG00000008056
8	37934281	37940129	ENSG00000169154
1	152947154	152949258	ENSG00000283227
19	57389884	57419994	ENSG00000269533
1	152153595	152159228	ENSG00000215853
1	152409243	152414263	ENSG00000143536
CHR_HSCHR6_MHC_MANN_CTG1	32203996	32207669	ENSG00000243897
1	150268200	150280916	ENSG00000118292
12	111841978	111902238	ENSG00000089022
1	165544007	165563961	ENSG00000162763
1	150265399	150269580	ENSG00000117362
2	156324432	156342348	ENSG00000153234
11	86374736	86423109	ENSG00000149201
1	165400917	165445355	ENSG00000143171
9	112217716	112333667	ENSG00000119314
4	109912884	110012266	ENSG00000138798
2	27650812	27663840	ENSG00000119760
8	7825172	7829053	ENSG00000186579
3	140941830	140980961	ENSG00000114120
2	46490750	46542557	ENSG00000250565
1	100083563	100132955	ENSG00000156876
16	31180110	31194871	ENSG00000089280
10	116056925	116273467	ENSG00000151892
7	31751179	32299329	ENSG00000154678
11	102789920	102798160	ENSG00000196611
12	122714756	122716892	ENSG00000255398
8	7753682	7756692	ENSG00000285657
6	108559835	108684774	ENSG00000118689
16	88803213	88809258	ENSG00000167513
19	15353385	15379798	ENSG00000105127
2	73640832	73642393	ENSG00000144035
10	274190	689668	ENSG00000151240
8	7730739	7733749	ENSG00000285620
X	55000357	55009057	ENSG00000169188
12	107732866	107761272	ENSG00000110851
X	119399060	119454478	ENSG00000077713
19	56507843	56530221	ENSG00000196263
7	128350325	128361685	ENSG00000224940
19	43460787	43465660	ENSG00000124466
15	41557675	41583586	ENSG00000092445
8	7579644	7582653	ENSG00000285765
19	43401496	43418597	ENSG00000131126
14	64939152	64942905	ENSG00000176153
19	589893	617159	ENSG00000099822
7	128297685	128343908	ENSG00000106344
7	138594285	138701352	ENSG00000157703
10	94402504	94535930	ENSG00000108239
7	48088628	48108733	ENSG00000183696
12	21047179	21176895	ENSG00000257062
1	225886282	225911382	ENSG00000243709
1	149854045	149861210	ENSG00000270276
19	11384341	11419342	ENSG00000205517
12	7089587	7109273	ENSG00000139178
12	111034024	111350554	ENSG00000111249
4	119317250	119322390	ENSG00000145384
1	149782689	149812373	ENSG00000203814
CHR_HSCHR8_3_CTG1	7434631	7455657	ENSG00000274405
11	60937084	60952530	ENSG00000110446
1	2555639	2565382	ENSG00000157873
22	42058354	42070842	ENSG00000198951
19	12806556	12815201	ENSG00000104889
6	52236681	52244537	ENSG00000112116
19	20167228	20200490	ENSG00000256229
19	489176	505342	ENSG00000099866
1	33306766	33321098	ENSG00000184389
3	111292719	111665750	ENSG00000153283
CHR_HSCHR7_2_CTG6	143002301	143023868	ENSG00000276615
12	68808176	68850686	ENSG00000135679
5	139341587	139369720	ENSG00000120727
1	151291797	151327715	ENSG00000143393
X	107713221	107777342	ENSG00000157514
2	224765090	225042445	ENSG00000135905
5	139795821	139844466	ENSG00000146005
17	78356778	78360077	ENSG00000184557
4	2930561	2934859	ENSG00000109736
6	42963870	42979220	ENSG00000124587
X	118974614	119018355	ENSG00000175556
8	144827464	144847509	ENSG00000147789
CHR_HSCHR19LRC_PGF2_CTG3_1	54294418	54306726	ENSG00000278046
1	219685427	219958647	ENSG00000196660
1	98661701	98760500	ENSG00000162627
7	996986	1138260	ENSG00000146540
4	56049073	56328625	ENSG00000109265
7	55365448	55433742	ENSG00000132434
1	108450282	108471002	ENSG00000186086
14	24143362	24147570	ENSG00000100911
15	78759203	78811431	ENSG00000136378
12	33374238	33439819	ENSG00000110975
2	73290929	73293705	ENSG00000135625
1	51789191	51878937	ENSG00000078618
1	40161373	40240921	ENSG00000117000
19	43064211	43083045	ENSG00000242221
Y	18025787	18028597	ENSG00000182415
5	172834275	172952685	ENSG00000113719
8	7355517	7385558	ENSG00000215372
5	35048756	35230589	ENSG00000113494
1	45016399	45306209	ENSG00000162415
14	39175183	39183218	ENSG00000100941
17	81681174	81683924	ENSG00000214087
20	63240784	63272694	ENSG00000101198
CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54738512	54753028	ENSG00000276459
10	87504875	87553460	ENSG00000107789
12	55752463	55817756	ENSG00000205323
1	2403964	2413797	ENSG00000157911
19	52453576	52512154	ENSG00000258405
3	185915906	185938136	ENSG00000136527
CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54803411	54814521	ENSG00000277850
17	81650459	81663112	ENSG00000185527
CHR_HSCHR6_MHC_MANN_CTG1	30586013	30601810	ENSG00000232143
6	34757406	34773794	ENSG00000124562
7	83955777	84492724	ENSG00000075213
1	43705824	43931165	ENSG00000126091
CHR_HSCHR6_MHC_DBB_CTG1	30974428	30980608	ENSG00000237962
19	37411155	37469275	ENSG00000196437
12	55725323	55729707	ENSG00000135404
19	55399745	55407777	ENSG00000108106
10	71212570	71302864	ENSG00000107731
1	212992182	213015826	ENSG00000174606
10	70882280	70888784	ENSG00000166228
1	62194831	62212328	ENSG00000240563
X	74304190	74305031	ENSG00000187969
X	54807599	54816012	ENSG00000102316
1	212950520	212992037	ENSG00000143494
19	42752686	42855691	ENSG00000124467
1	212726153	212791782	ENSG00000117697
19	19629476	19643667	ENSG00000089639
19	49055793	49065076	ENSG00000283663
3	193274790	193378843	ENSG00000187527
20	63195429	63216234	ENSG00000149658
12	9898673	9932381	ENSG00000188393
17	18271428	18315007	ENSG00000177302
CHR_HSCHR6_MHC_SSTO_CTG1	31262172	31265564	ENSG00000206435
3	46877746	46903799	ENSG00000160801
12	62260338	62417431	ENSG00000135655
9	133061978	133071861	ENSG00000170835
X	54530211	54561071	ENSG00000130119
11	60201253	60243088	ENSG00000214787
CHR_HSCHR6_MHC_COX_CTG1	32241266	32320157	ENSG00000234280
17	34579487	34639318	ENSG00000181291
11	62771629	62792021	ENSG00000168569
12	10937406	11171573	ENSG00000212127
11	124256376	124266218	ENSG00000255298
CHR_HSCHR17_7_CTG4	36428990	36439938	ENSG00000282087
12	55492378	55493316	ENSG00000205327
16	49373823	49399431	ENSG00000166152
CHR_HSCHR6_MHC_COX_CTG1	32133204	32138654	ENSG00000237344
6	54307859	54390152	ENSG00000137251
1	2184461	2212720	ENSG00000162585
19	52113091	52139922	ENSG00000204611
14	38254103	38256369	ENSG00000176435
13	34942287	35673022	ENSG00000172915
X	19912860	19970298	ENSG00000173681
6	27890382	27893106	ENSG00000197153
6	27892757	27893149	ENSG00000278677
22	38200767	38216511	ENSG00000185022
15	78340324	78348230	ENSG00000166426
19	10316212	10333640	ENSG00000161847
19	48748011	48755390	ENSG00000174951
22	24011192	24178628	ENSG00000099991
2	232550052	232583644	ENSG00000135930
7	45080438	45088914	ENSG00000136274
2	232539727	232546403	ENSG00000196811
4	82352498	82374503	ENSG00000138668
CHR_HSCHR6_MHC_MCF_CTG1	32035523	32046194	ENSG00000232616
X	30215560	30220089	ENSG00000099399
2	237574322	237601614	ENSG00000124839
17	38730235	38735044	ENSG00000277972
1	93866283	93879918	ENSG00000067334
11	57753243	57819546	ENSG00000198561
CHR_HSCHR6_MHC_MCF_CTG1	29486547	29487683	ENSG00000206470
CHR_HSCHR19LRC_COX1_CTG3_1	54973355	54992248	ENSG00000278149
CHR_HSCHR19LRC_LRC_S_CTG3_1	54069947	54081380	ENSG00000274889
CHR_HSCHR6_MHC_DBB_CTG1	31988350	31989286	ENSG00000269167
CHR_HSCHR19LRC_COX2_CTG3_1	54201473	54208260	ENSG00000274626
CHR_HSCHR17_7_CTG4	38528620	38528985	ENSG00000277005
CHR_HSCHR6_MHC_QBL_CTG1	30903778	30916040	ENSG00000285213
CHR_HSCHR19LRC_LRC_I_CTG3_1	54201473	54208260	ENSG00000277359
1	155659443	155689000	ENSG00000163374
19	50649445	50659310	ENSG00000235034
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54738538	54753053	ENSG00000273947
11	61222216	61231927	ENSG00000229183
12	56007659	56038435	ENSG00000123411
17	32266176	32324661	ENSG00000141314
14	100323337	100330378	ENSG00000140107
5	80408013	80479350	ENSG00000039319
14	69611596	69715142	ENSG00000100647
CHR_HSCHR6_MHC_MANN_CTG1	32811324	32820618	ENSG00000225824
1	247605586	247606515	ENSG00000177476
12	57010000	57028883	ENSG00000166863
1	62597487	62606159	ENSG00000132855
19	44474428	44500524	ENSG00000167384
1	160541095	160579516	ENSG00000066294
12	132144448	132152473	ENSG00000184967
19	31274945	31349547	ENSG00000121297
14	74019353	74082863	ENSG00000119636
5	177402140	177409576	ENSG00000131187
17	78787381	78841441	ENSG00000055483
CHR_HSCHR6_1_CTG4	169740114	169751587	ENSG00000275368
5	79236189	79327215	ENSG00000152409
1	74198212	74234086	ENSG00000254685
8	66493208	66518524	ENSG00000169085
6	29555515	29559925	ENSG00000213886
1	154502219	154548147	ENSG00000163239
6	31765590	31777294	ENSG00000204396
12	118063593	118136026	ENSG00000176834
5	140639427	140645408	ENSG00000113119
3	157436789	157443628	ENSG00000163661
6	43450352	43456632	ENSG00000171462
1	160115759	160143591	ENSG00000018625
16	84218667	84239750	ENSG00000168418
2	99181079	99197626	ENSG00000185414
6	135283532	135497776	ENSG00000135541
12	109929792	109996389	ENSG00000139436
6	109462594	109483237	ENSG00000112365
7	97731908	97740472	ENSG00000006128
1	235327350	235344532	ENSG00000152904
1	70260588	70354734	ENSG00000118454
12	125065379	125143333	ENSG00000081760
6	159778498	159789749	ENSG00000120438
7	6374523	6403977	ENSG00000136238
6	43299710	43308797	ENSG00000146215
3	184314495	184335358	ENSG00000114867
19	44025342	44033112	ENSG00000159885
12	123973944	124088594	ENSG00000274874
1	171781664	171814023	ENSG00000010165
6	158650014	158764876	ENSG00000164674
8	65644734	65771261	ENSG00000066855
CHR_HSCHR6_MHC_MCF_CTG1	31794876	31802992	ENSG00000237459
1	171700160	171742247	ENSG00000117533
19	41431318	41440717	ENSG00000105341
X	154219756	154233286	ENSG00000166160
1	156920650	156933094	ENSG00000160838
12	69643360	69699476	ENSG00000127325
19	23525631	23687220	ENSG00000197372
12	49950741	49958881	ENSG00000167580
21	30746794	30747233	ENSG00000187026
CHR_HSCHR6_MHC_MCF_CTG1	32205134	32206718	ENSG00000223666
16	88856220	88862686	ENSG00000167515
19	41114432	41128366	ENSG00000197446
11	103062076	103092215	ENSG00000137692
5	176383938	176388975	ENSG00000048162
1	15617500	15669044	ENSG00000197312
1	15659869	15661722	ENSG00000215695
1	153534599	153536244	ENSG00000197956
2	205681990	205798133	ENSG00000118257
2	75469302	75569722	ENSG00000115363
10	122990806	123008817	ENSG00000095574
5	56511567	56606232	ENSG00000225940
12	27696519	27697596	ENSG00000174236
4	173369969	173377532	ENSG00000164105
16	50742050	50801935	ENSG00000083799
12	109088188	109093631	ENSG00000189046
X	47623172	47630305	ENSG00000126759
7	150800403	150805120	ENSG00000002933
1	152970666	152972574	ENSG00000184148
1	152908545	152911886	ENSG00000163207
5	176346061	176361968	ENSG00000122203
5	123512099	123617045	ENSG00000151292
19	38211006	38229714	ENSG00000011332
1	152698364	152699442	ENSG00000187173
1	152686123	152687401	ENSG00000159455
12	112013316	112023451	ENSG00000089248
X	52061827	52069248	ENSG00000187243
1	152348735	152360006	ENSG00000143520
20	63343223	63378401	ENSG00000101204
1	152032506	152047907	ENSG00000163191
1	165827531	165911618	ENSG00000143179
9	15464066	15511019	ENSG00000164985
11	73400487	73598189	ENSG00000054965
17	68867292	68955392	ENSG00000141338
6	165327287	165988078	ENSG00000112541
CHR_HSCHR6_MHC_DBB_CTG1	31158060	31164434	ENSG00000229094
1	165201867	165356715	ENSG00000162761
